supplier,sku,name,current_stock,in_transit_qty,forecast_next_month,recommended_qty,months_of_cover,urgency,explanation,moq
Systeme Electric,030200203_,Соединитель коробок IMT35150/IMT351501 Systeme Electric (900),4668.0,0.0,9026.3,9000.0,0.52,Высокая,база спроса ≈5687 шт/мес (история 31 мес.); сезонность ×1.00; рост спроса ×1.59; исключено разовых крупных заказов: 1; прогноз след. месяц ≈9026 шт; остаток 4668 + в пути 0,900.0
Systeme Electric,030200225_,Распределительная  коробка о/у  с сальниками  85х85х40 IP55 IMT35092 Systeme Electric (72),3991.0,0.0,7225.8,6912.0,0.55,Высокая,база спроса ≈2542 шт/мес (история 32 мес.); сезонность ×1.57; рост спроса ×1.81; исключено разовых крупных заказов: 1; прогноз след. месяц ≈7226 шт; остаток 3991 + в пути 0,72.0
Systeme Electric,280300174_, Распределительная коробка с/у для твердых стен  70х40 IP30 IMT35120 Systeme Electric (175),1758.0,0.0,4644.3,5250.0,0.38,Высокая,база спроса ≈1063 шт/мес (история 32 мес.); сезонность ×2.29; рост спроса ×1.90; прогноз след. месяц ≈4644 шт; остаток 1758 + в пути 0,175.0
Systeme Electric,030200223_,Распределительная  коробка о/у  с сальниками  70х70х40 IP55 IMT35090 Systeme Electric (96),2818.0,0.0,4122.4,3456.0,0.68,Высокая,база спроса ≈1614 шт/мес (история 31 мес.); сезонность ×1.65; рост спроса ×1.55; прогноз след. месяц ≈4122 шт; остаток 2818 + в пути 0,96.0
Systeme Electric,030300014_, Распределительная коробка с/у для твердых стен 102х36 карболит IP30 У-192 Systeme Electric (56),1203.0,0.0,2439.2,2464.0,0.49,Высокая,база спроса ≈1634 шт/мес (история 30 мес.); сезонность ×1.96; снижение спроса ×0.76; прогноз след. месяц ≈2439 шт; остаток 1203 + в пути 0,56.0
Systeme Electric,130300027_,"Сжим У 733M (16-35/1,5-10)  SE (140)",6.0,0.0,1414.9,2240.0,0.0,Высокая,база спроса ≈394 шт/мес (история 32 мес.); сезонность ×1.80; рост спроса ×2.00; продажи скорректированы вверх из-за дефицита на складе; прогноз след. месяц ≈1415 шт; остаток 6 + в пути 0,140.0
Systeme Electric,130300026_,"Сжим У 731М  (4-10/1,5-10) SE (140)",247.0,0.0,1457.0,1960.0,0.17,Высокая,база спроса ≈478 шт/мес (история 30 мес.); сезонность ×1.52; рост спроса ×2.00; прогноз след. месяц ≈1457 шт; остаток 247 + в пути 0,140.0
Systeme Electric,300200324_,"S427 Роз  2-ная  о/у с з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA010211 (48)",2601.0,0.0,2779.1,1568.0,0.94,Высокая,база спроса ≈1410 шт/мес (история 32 мес.); сезонность ×1.18; рост спроса ×1.68; исключено разовых крупных заказов: 26; прогноз след. месяц ≈2779 шт; остаток 2601 + в пути 0,8.0
Systeme Electric,030200226_,Распределительная  коробка о/у  с сальниками  65х45 IP55 IMT35093 Systeme Electric (150),462.0,0.0,973.0,1050.0,0.47,Высокая,база спроса ≈336 шт/мес (история 32 мес.); сезонность ×1.45; рост спроса ×2.00; прогноз след. месяц ≈973 шт; остаток 462 + в пути 0,150.0
Systeme Electric,300200327_,"S430 Роз 4-ная  о/у без з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA000411 (30)",81.0,0.0,699.7,970.0,0.12,Высокая,база спроса ≈274 шт/мес (история 32 мес.); сезонность ×2.00; рост спроса ×1.28; прогноз след. месяц ≈700 шт; остаток 81 + в пути 0,5.0
